datetime,光電業,其他,化學工業,半導體,居家生活,建材營造,數位雲端,文化創意業,材料,汽車工業,油電燃氣業,生技醫療,綠能環保,航運業,觀光餐旅,資訊服務業,通信網路業,金融業,鋼鐵工業,電子商務,電子通路業,電子零組件,電機機械,電腦及週邊,食品工業
2013-11-05,1,5,5,1,5,5,2,1,5,0,4,5,4,4,4,1,4,5,4,3,4,1,5,1,5
2013-11-06,1,5,5,1,5,5,2,1,5,0,4,5,4,4,4,1,4,5,4,3,4,1,5,1,5
2013-11-07,1,5,5,1,5,5,2,1,5,0,4,5,4,4,4,1,4,5,4,3,4,1,5,1,5
2013-11-08,1,5,5,1,5,5,2,1,5,0,4,5,4,4,4,1,4,5,4,3,4,1,5,1,5
2013-11-11,1,5,5,1,5,5,2,1,5,0,4,5,4,4,4,1,4,5,4,3,4,1,5,1,5
2013-11-12,1,5,5,1,5,5,2,1,5,0,4,5,4,4,4,1,4,5,4,3,4,1,5,1,5
2013-11-13,1,5,5,1,5,5,2,1,5,0,4,5,4,4,4,1,4,5,4,3,4,1,5,1,5
2013-11-14,1,5,5,1,5,5,2,1,5,0,4,5,4,4,4,1,4,5,4,3,4,1,5,1,5
2013-11-15,1,5,5,1,5,5,2,1,5,0,4,5,4,4,4,1,4,5,4,3,4,1,5,1,5
2013-11-18,1,5,5,1,5,5,2,1,5,0,4,5,4,4,4,1,4,5,4,3,4,1,5,1,5
2013-11-19,1,5,5,1,5,5,2,1,5,0,4,5,4,4,4,1,4,5,4,3,4,1,5,1,5
2013-11-20,1,5,5,1,5,5,2,1,5,0,4,5,4,4,4,1,4,5,4,3,4,1,5,1,5
2013-11-21,1,5,5,1,5,5,2,1,5,0,4,5,4,4,4,1,4,5,4,3,4,1,5,1,5
2013-11-22,1,5,5,1,5,5,2,1,5,0,4,5,4,4,4,1,4,5,4,3,4,1,5,1,5
2013-11-25,1,5,5,1,5,5,2,1,5,0,4,5,4,4,4,1,4,5,4,3,4,1,5,1,5
2013-11-26,1,5,5,1,5,5,2,1,5,0,4,5,4,4,4,1,4,5,4,3,4,1,5,1,5
2013-11-27,1,5,5,1,5,5,2,1,5,0,4,5,4,4,4,1,4,5,4,3,4,1,5,1,5
2013-11-28,1,5,5,1,5,5,2,1,5,0,4,5,4,4,4,1,4,5,4,3,4,1,5,1,5
2013-11-29,1,5,5,1,5,5,2,1,5,0,4,5,4,4,4,1,4,5,4,3,4,1,5,1,5
2013-12-02,1,5,5,1,5,5,2,1,5,0,4,5,4,4,4,1,4,5,4,3,4,1,5,1,5
2013-12-03,1,5,5,1,5,5,2,1,5,0,4,5,4,4,4,1,4,5,4,3,4,1,5,1,5
2013-12-04,1,5,5,1,5,5,2,1,5,0,4,5,4,4,4,1,4,5,4,3,4,1,5,1,5
2013-12-05,1,5,5,1,5,5,2,1,5,0,4,5,4,4,4,1,4,5,4,3,4,1,5,1,5
2013-12-06,1,5,5,1,5,5,2,1,5,0,4,5,4,4,4,1,4,5,4,3,4,1,5,1,5
2013-12-09,1,5,5,1,5,5,2,1,5,0,4,5,4,4,4,1,4,5,4,3,4,1,5,1,5
2013-12-10,1,5,5,1,5,5,2,1,5,0,4,5,4,4,4,1,4,5,4,3,4,1,5,1,5
2013-12-11,1,5,5,1,5,5,2,1,5,0,4,5,4,4,4,1,4,5,4,3,4,1,5,1,5
2013-12-12,1,5,5,1,5,5,2,1,5,0,4,5,4,4,4,1,4,5,4,3,4,1,5,1,5
2013-12-13,1,5,5,1,5,5,2,1,5,0,4,5,4,4,4,1,4,5,4,3,4,1,5,1,5
2013-12-16,1,5,5,1,5,5,2,1,5,0,4,5,4,4,4,1,4,5,4,3,4,1,5,1,5
2013-12-17,1,5,5,1,5,5,2,1,5,0,4,5,4,4,4,1,4,5,4,3,4,1,5,1,5
2013-12-18,1,5,5,1,5,5,2,1,5,0,4,5,4,4,4,1,4,5,4,3,4,1,5,1,5
2013-12-19,1,5,5,1,5,5,2,1,5,0,4,5,4,4,4,1,4,5,4,3,4,1,5,1,5
2013-12-20,1,5,5,1,5,5,2,1,5,0,4,5,4,4,4,1,4,5,4,3,4,1,5,1,5
2013-12-23,1,5,5,1,5,5,2,1,5,0,4,5,4,4,4,1,4,5,4,3,4,1,5,1,5
2013-12-24,1,5,5,1,5,5,2,1,5,0,4,5,4,4,4,1,4,5,4,3,4,1,5,1,5
2013-12-25,1,5,5,1,5,5,2,1,5,0,4,5,4,4,4,1,4,5,4,3,4,1,5,1,5
2013-12-26,1,5,5,1,5,5,2,1,5,0,4,5,4,4,4,1,4,5,4,3,4,1,5,1,5
2013-12-27,1,5,5,1,5,5,2,1,5,0,4,5,4,4,4,1,4,5,4,3,4,1,5,1,5
2013-12-30,1,5,5,1,5,5,2,1,5,0,4,5,4,4,4,1,4,5,4,3,4,1,5,1,5
2013-12-31,1,5,5,1,5,5,2,1,5,0,4,5,4,4,4,1,4,5,4,3,4,1,5,1,5
2014-01-02,3,1,2,3,2,2,5,3,2,0,2,0,1,2,2,1,1,2,2,4,3,3,1,3,2
2014-01-03,3,1,2,3,2,2,5,3,2,0,2,0,1,2,2,1,1,2,2,4,3,3,1,3,2
2014-01-06,3,1,2,3,2,2,5,3,2,0,2,0,1,2,2,1,1,2,2,4,3,3,1,3,2
2014-01-07,3,1,2,3,2,2,5,3,2,0,2,0,1,2,2,1,1,2,2,4,3,3,1,3,2
2014-01-08,3,1,2,3,2,2,5,3,2,0,2,0,1,2,2,1,1,2,2,4,3,3,1,3,2
2014-01-09,3,1,2,3,2,2,5,3,2,0,2,0,1,2,2,1,1,2,2,4,3,3,1,3,2
2014-01-10,3,1,2,3,2,2,5,3,2,0,2,0,1,2,2,1,1,2,2,4,3,3,1,3,2
2014-01-13,3,1,2,3,2,2,5,3,2,0,2,0,1,2,2,1,1,2,2,4,3,3,1,3,2
2014-01-14,3,1,2,3,2,2,5,3,2,0,2,0,1,2,2,1,1,2,2,4,3,3,1,3,2
2014-01-15,3,1,2,3,2,2,5,3,2,0,2,0,1,2,2,1,1,2,2,4,3,3,1,3,2
2014-01-16,3,1,2,3,2,2,5,3,2,0,2,0,1,2,2,1,1,2,2,4,3,3,1,3,2
2014-01-17,3,1,2,3,2,2,5,3,2,0,2,0,1,2,2,1,1,2,2,4,3,3,1,3,2
2014-01-20,3,1,2,3,2,2,5,3,2,0,2,0,1,2,2,1,1,2,2,4,3,3,1,3,2
2014-01-21,3,1,2,3,2,2,5,3,2,0,2,0,1,2,2,1,1,2,2,4,3,3,1,3,2
2014-01-22,3,1,2,3,2,2,5,3,2,0,2,0,1,2,2,1,1,2,2,4,3,3,1,3,2
2014-01-23,3,1,2,3,2,2,5,3,2,0,2,0,1,2,2,1,1,2,2,4,3,3,1,3,2
2014-01-24,3,1,2,3,2,2,5,3,2,0,2,0,1,2,2,1,1,2,2,4,3,3,1,3,2
2014-01-27,3,1,2,3,2,2,5,3,2,0,2,0,1,2,2,1,1,2,2,4,3,3,1,3,2
2014-02-05,3,1,2,3,2,2,5,3,2,0,2,0,1,2,2,1,1,2,2,4,3,3,1,3,2
2014-02-06,3,1,2,3,2,2,5,3,2,0,2,0,1,2,2,1,1,2,2,4,3,3,1,3,2
2014-02-07,3,1,2,3,2,2,5,3,2,0,2,0,1,2,2,1,1,2,2,4,3,3,1,3,2
